Supply Voltage (V) LED,Diode Voltage (V),Diode Current (mA),,Supply Voltage (V) 1N4148,Diode Voltage (V),Diode Current (mA)
0.00,0.00,0.00,,0.00,0,0
0.25,0.249,0.0003,,0.25,0.248,0.0005
0.50,0.499,0.0003,,0.50,0.4617,0.038
0.75,0.749,0.0003,,0.75,0.541,0.21
1.00,1.000,0.0003,,1.00,0.574,0.429
1.25,1.250,0.0003,,1.25,0.594,0.662
1.50,1.500,0.0003,,1.50,0.607,0.891
1.75,1.750,0.0003,,1.75,0.619,1.142
2.00,2.000,0.0003,,2.00,0.628,1.386
2.25,2.250,0.0003,,2.25,0.636,1.631
2.50,2.480,0.0003,,2.50,0.642,1.878
2.75,2.598,0.1550,,2.75,0.648,2.125
3.00,2.650,0.3490,,3.00,0.653,2.373
3.25,2.697,0.5628,,3.25,0.658,2.621
3.50,2.729,0.7850,,3.50,0.663,2.869
3.75,2.755,1.01,,3.75,0.667,3.119
4.00,2.777,1.2440,,4.00,0.671,3.368
4.25,2.797,1.4680,,4.25,0.674,3.608
4.50,2.815,1.7040,,4.50,0.677,3.859
4.75,2.832,1.9410,,4.75,0.680,4.106
5.00,2.848,2.1805,,5.00,0.683,4.361
,,,,,,
